epoch,steps,Accuracy,Accuracy_Threshold,F1,F1_Threshold,Precision,Recall,Average_Precision
0,-1,0.7951103418433578,0.9670590758323669,0.776056338028169,0.9610434770584106,0.7174479166666666,0.8450920245398773,0.783034786140834
1,-1,0.7881869320640416,0.9877787828445435,0.764692534604039,0.9468878507614136,0.6874745002039984,0.8614519427402862,0.7891201510636486
2,-1,0.799221116399827,0.9884682297706604,0.7760342368045648,0.9827862977981567,0.7253333333333334,0.8343558282208589,0.7927637735885157
3,-1,0.7974902639549979,0.9960295557975769,0.7764208548614372,0.9920694828033447,0.7180712423979149,0.8450920245398773,0.7943424707800083
