Nº Prueba,Normal (ms),Optimizacion (ms),Super Optimizacion (ms)
0,28.945207595825195,21.235942840576172,651.9007682800293
1,10.79702377319336,21.679162979125977,105.1490306854248
2,16.397714614868164,30.605077743530273,107.24592208862305
3,14.146089553833008,30.984163284301758,106.18114471435547
4,28.42092514038086,43.91980171203613,114.21489715576172
5,24.718046188354492,46.128034591674805,118.91698837280273
6,44.53778266906738,60.5008602142334,131.01696968078613
7,42.18912124633789,62.78872489929199,130.0051212310791
