spanish_name;english_name;iso3;phone_code;currency_name;currency_code;currency_symbol
Sahara Occidental;Western Sahara;ESH;212;None;None;None
Samoa;Samoa;WSM;685;Tala;WST;None
Samoa Americana;American Samoa;ASM;1 684;None;None;None
San Bartolomé;Saint Barthélemy;BLM;590;None;None;None
San Cristóbal y Nieves;Saint Kitts and Nevis;KNA;1 869;Dólar del Caribe Oriental;XCD;None
San Marino;San Marino;SMR;378;Euro;EUR;€
San Martín (Francia);Saint Martin (French part);MAF;1 599;None;None;None
San Pedro y Miquelón;Saint Pierre and Miquelon;SPM;508;None;None;None
San Vicente y las Granadinas;Saint Vincent and the Grenadines;VCT;1 784;Dólar del Caribe Oriental;XCD;None
Santa Elena;Ascensión y Tristán de Acuña;SHN;290;None;None;None
Santa Lucía;Saint Lucia;LCA;1 758;Dólar del Caribe Oriental;XCD;None
Santo Tomé y Príncipe;Sao Tome and Principe;STP;239;Dobra;STD;None
Senegal;Senegal;SEN;221;Franco CFA de África Occidental;XOF;None
Serbia;Serbia;SRB;381;Dinar serbio;RSD;None
Seychelles;Seychelles;SYC;248;Rupia de Seychelles;SCR;None
Sierra Leona;Sierra Leone;SLE;232;Leone;SLL;None
Singapur;Singapore;SGP;65;Dólar de Singapur;SGD;$
Sint Maarten;Sint Maarten;SMX;1 721;None;None;None
Siria;Syria;SYR;963;Libra siria;SYP;None
Somalia;Somalia;SOM;252;Chelín somalí;SOS;None
Sri lanka;Sri Lanka;LKA;94;None;None;None
Sudáfrica;South Africa;ZAF;27;Rand sudafricano;ZAR;R
Sudán;Sudan;SDN;249;Libra sudanesa;SDG;None
Suecia;Sweden;SWE;46;Corona sueca;SEK;kr
Suiza;Switzerland;CHE;41;Franco suizo;CHF;CHF
Surinám;Suriname;SUR;597;None;None;None
Svalbard y Jan Mayen;Svalbard and Jan Mayen;SJM;47;None;None;None
Swazilandia;Swaziland;SWZ;268;None;None;None
Tayikistán;Tajikistan;TJK;992;Somoni tayiko;TJS;None
Tailandia;Thailand;THA;66;Baht tailandés;THB;฿
Taiwán;Taiwan;TWN;886;Nuevo dólar taiwanés;TWD;None
Tanzania;Tanzania;TZA;255;Chelín tanzano;TZS;None
Territorio Británico del Océano Índico;British Indian Ocean Territory;IOT;246;None;None;None
Territorios Australes y Antárticas Franceses;French Southern Territories;ATF;None;None;None;None
Timor Oriental;East Timor;TLS;670;Dólar estadounidense;USD;$
Togo;Togo;TGO;228;Franco CFA de África Occidental;XOF;None
Tokelau;Tokelau;TKL;690;None;None;None
Tonga;Tonga;TON;676;Pa'anga;TOP;None
Trinidad y Tobago;Trinidad and Tobago;TTO;1 868;Dólar trinitense;TTD;None
Tunez;Tunisia;TUN;216;None;None;None
